,percision,recall,F-meausre,accuracy,macro f1,weighted f1
0,0.8490566037735849,0.8181818181818182,0.8333333333333334,0.7846153846153846,0.7281440492524924,0.782164096035782
1,0.8914728682170543,0.92,0.905511811023622,,,
2,0.6363636363636364,0.4666666666666667,0.5384615384615385,,,
3,0.75,0.6,0.6666666666666665,,,
4,0.5098039215686274,0.52,0.5148514851485149,,,
5,0.7636363636363637,0.7636363636363637,0.7636363636363637,,,
6,0.7,0.4666666666666667,0.56,,,
7,1.0,0.8,0.888888888888889,,,
8,0.7586206896551724,0.88,0.8148148148148148,,,
9,0.7829457364341085,0.808,0.7952755905511811,,,
