,percision,recall,F-meausre,accuracy,macro f1,weighted f1
0,0.7796610169491526,0.8363636363636363,0.8070175438596492,0.8346153846153846,0.7698047754544147,0.8269406830314401
1,0.9375,0.96,0.9486166007905138,,,
2,0.75,0.4,0.5217391304347827,,,
3,0.9090909090909091,0.6666666666666666,0.7692307692307692,,,
4,0.7435897435897436,0.58,0.6516853932584269,,,
5,0.7936507936507936,0.9090909090909091,0.847457627118644,,,
6,1.0,0.3333333333333333,0.5,,,
7,1.0,1.0,1.0,,,
8,0.7457627118644068,0.88,0.8073394495412843,,,
9,0.8195488721804511,0.872,0.8449612403100776,,,
