,percision,recall,F-meausre,accuracy,macro f1,weighted f1
0,0.8225806451612904,0.9272727272727272,0.8717948717948718,0.8942307692307693,0.8582327274240663,0.8923488202474062
1,0.9682539682539683,0.976,0.9721115537848605,,,
2,0.6923076923076923,0.6,0.6428571428571429,,,
3,0.9333333333333333,0.9333333333333333,0.9333333333333333,,,
4,0.8260869565217391,0.76,0.7916666666666667,,,
5,0.8125,0.9454545454545454,0.8739495798319329,,,
6,1.0,0.5333333333333333,0.6956521739130436,,,
7,1.0,1.0,1.0,,,
8,0.8421052631578947,0.96,0.8971962616822429,,,
9,0.9473684210526315,0.864,0.9037656903765691,,,
