,percision,recall,F-meausre,accuracy,macro f1,weighted f1
0,0.5,0.5,0.5,0.425,0.3013514263514263,0.3382747113997114
1,0.0,0.0,0.0,,,
2,0.5,0.5,0.5,,,
3,0.0,0.0,0.0,,,
4,0.0,0.0,0.0,,,
5,0.0,0.0,0.0,,,
6,0.6,0.75,0.6666666666666665,,,
7,1.0,0.3333333333333333,0.5,,,
8,0.42857142857142855,1.0,0.6,,,
9,0.5,0.5,0.5,,,
10,0.2727272727272727,1.0,0.42857142857142855,,,
11,0.4,0.5,0.4444444444444445,,,
12,0.4,0.6666666666666666,0.5,,,
13,0.42857142857142855,0.75,0.5454545454545454,,,
14,0.3333333333333333,1.0,0.5,,,
15,1.0,0.3333333333333333,0.5,,,
16,1.0,0.3333333333333333,0.5,,,
17,0.2727272727272727,0.75,0.39999999999999997,,,
18,0.0,0.0,0.0,,,
19,0.0,0.0,0.0,,,
20,0.0,0.0,0.0,,,
21,0.0,0.0,0.0,,,
22,0.6,1.0,0.7499999999999999,,,
23,0.0,0.0,0.0,,,
24,0.0,0.0,0.0,,,
25,0.0,0.0,0.0,,,
